구분,호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,수상 관광호텔,수상 관광호텔,가족호텔,가족호텔,전통호텔,전통호텔,호스텔,호스텔,소계,소계,호텔업 소계,호텔업 소계,휴양콘도미니엄 소계,휴양콘도미니엄 소계,총계,총계
,등급,특1급,특1급,특2급,특2급,1급,1급,2급,2급,3급,3급,등급미정,등급미정,계,계,   ,   , , ,  ,  ,    ,    ,     ,     ,      ,      ,       ,       ,        ,        
,구분,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수,업체수,객실수
서울,,22,10742,31,6891,42,4811,22,1336,15,739,46,3823,178,28342,0,0,8,1367,0,0,5,119,13,"1,486",191,"29,828",0,0,191,"29,828"
부산,,7,2626,5,691,16,1551,10,455,11,1519,2,108,51,6950,0,0,0,0,0,0,3,46,3,46,54,"6,996",4,"1,385",58,"8,381"
대구,,4,999,5,342,8,406,1,65,1,33,0,0,19,1845,0,0,0,0,0,0,0,0,0,0,19,"1,845",0,0,19,"1,845"
인천,,3,1020,6,1402,2,127,11,553,12,552,15,703,49,4357,0,0,1,30,1,44,6,120,8,194,57,"4,551",2,351,59,"4,902"
광주,,2,325,2,198,5,305,5,249,0,0,4,157,18,1234,0,0,0,0,0,0,0,0,0,0,18,"1,234",0,0,18,"1,234"
대전,,1,174,2,394,7,427,2,60,5,237,2,113,19,1405,0,0,1,80,0,0,0,0,1,80,20,"1,485",0,0,20,"1,485"
울산,,2,463,1,75,0,0,2,144,0,0,5,242,10,924,0,0,1,35,0,0,0,0,1,35,11,959,0,0,11,959
경기,,4,1072,6,1047,25,2007,16,835,21,1176,27,1426,99,7563,0,0,1,52,0,0,1,31,2,83,101,"7,646",16,"3,204",117,"10,850"
강원,,7,1871,6,1066,13,827,4,199,2,114,7,630,39,4707,0,0,11,848,0,0,1,21,12,869,51,"5,576",60,"19,415",111,"24,991"
충북,,1,328,1,180,12,898,1,30,5,184,2,77,22,1697,0,0,1,52,0,0,0,0,1,52,23,"1,749",8,"2,180",31,"3,929"
충남,,0,0,4,568,2,105,8,366,1,50,2,104,17,1193,0,0,2,131,0,0,1,10,3,141,20,"1,334",15,"2,679",35,"4,013"
전북,,1,118,3,459,6,517,9,435,6,220,2,97,27,1846,0,0,5,2051,0,0,1,17,6,"2,068",33,"3,914",6,763,39,"4,677"
전남,,3,650,3,256,12,784,3,149,2,122,10,444,33,2405,0,0,9,460,1,21,4,66,14,547,47,"2,952",8,"1,062",55,"4,014"
경북,,5,1627,4,691,14,909,9,515,7,314,9,370,48,4426,0,0,1,90,1,16,1,21,3,127,51,"4,553",16,"2,930",67,"7,483"
경남,,2,487,4,478,13,1035,7,360,4,151,12,524,42,3035,0,0,12,779,0,0,0,0,12,779,54,"3,814",12,"1,949",66,"5,763"
제주,,11,3447,5,517,12,1070,4,250,1,95,30,2085,63,7464,0,0,35,1916,1,26,47,"1,116",83,"3,058",146,"10,522",45,"5,743",191,"16,265"
합계,,75,25949,88,15255,189,15779,114,6001,93,5506,175,10903,734,79393,0,0,88,7891,4,107,70,"1,567",162,"9,565",896,"88,958",192,"41,661","1,088","130,619"
